Time;Rpm;Const1;RandNum;Sinus;Pulse;Step;RpmRad2
0.059;29000;138;40;0.2032;223;240;3035.33
0.06;29000;138;40;0.2032;223;240;3035.33
0.061;29000;138;40;0.2032;223;240;3035.33
0.062;29000;138;40;0.2032;223;240;3035.33
0.063;29000;138;40;0.2032;223;240;3035.33
0.064;29000;138;40;0.2032;223;240;3035.33
0.065;29000;138;40;0.2032;223;240;3035.33
0.066;29000;138;40;0.2032;223;240;3035.33
0.067;29000;138;40;0.2032;223;240;3035.33
0.068;29000;138;40;0.2032;223;240;3035.33
0.069;29000;138;40;0.2032;223;240;3035.33
0.07;29000;138;40;0.2032;223;240;3035.33
0.071;29000;138;40;0.2032;223;240;3035.33
0.072;29000;138;40;0.2032;223;240;3035.33
0.073;29000;138;40;0.2032;223;240;3035.33
0.074;29000;138;40;0.2032;223;240;3035.33
0.075;29000;138;40;0.2032;223;240;3035.33
0.076;29000;138;40;0.2032;223;240;3035.33
0.077;29000;138;40;0.2032;223;240;3035.33
0.078;29000;138;40;0.2032;223;240;3035.33
0.079;29000;138;40;0.2032;223;240;3035.33
0.08;29000;138;40;0.2032;223;240;3035.33
0.081;29000;138;40;0.2032;223;240;3035.33
0.082;29000;138;40;0.2032;223;240;3035.33
0.083;29000;138;40;0.2032;223;240;3035.33
0.084;29000;138;40;0.2032;223;240;3035.33
0.085;29000;138;40;0.2032;223;240;3035.33
0.086;29000;138;40;0.2032;223;240;3035.33
0.087;29000;138;40;0.2032;223;240;3035.33
0.088;29000;138;40;0.2032;223;240;3035.33
0.089;29000;138;40;0.2032;223;240;3035.33
0.09;29000;138;40;0.2032;223;240;3035.33
0.091;29000;138;40;0.2032;223;240;3035.33
0.092;29000;138;40;0.2032;223;240;3035.33
0.093;29000;138;40;0.2032;223;240;3035.33
0.094;29000;138;40;0.2032;223;240;3035.33
0.095;29000;138;40;0.2032;223;240;3035.33
0.096;29000;138;40;0.2032;223;240;3035.33
0.097;29000;138;40;0.2032;223;240;3035.33
0.098;29000;138;40;0.2032;223;240;3035.33
0.099;29000;138;40;0.2032;223;240;3035.33
0.1;29000;138;40;0.2032;223;240;3035.33
0.101;29000;138;40;0.2032;223;240;3035.33
0.102;29000;138;40;0.2032;223;240;3035.33
0.103;29000;138;40;0.2032;223;240;3035.33
0.104;29000;138;40;0.2032;223;240;3035.33
0.105;29000;138;40;0.2032;223;240;3035.33
0.106;29000;138;40;0.2032;223;240;3035.33
0.107;29000;138;40;0.2032;223;240;3035.33
0.108;29000;138;40;0.2032;223;240;3035.33
0.109;29000;138;40;0.2032;223;240;3035.33
0.11;29000;138;40;0.2032;223;240;3035.33
0.111;29000;138;40;0.2032;223;240;3035.33
0.112;29000;138;40;0.2032;223;240;3035.33
0.113;29000;138;40;0.2032;223;240;3035.33
0.114;29000;138;40;0.2032;223;240;3035.33
0.115;29000;138;40;0.2032;223;240;3035.33
0.116;29000;138;40;0.2032;223;240;3035.33
0.117;29000;138;40;0.2032;223;240;3035.33
0.118;29000;138;40;0.2032;223;240;3035.33
0.119;29000;138;40;0.2032;223;240;3035.33
0.12;29000;138;40;0.2032;223;240;3035.33
0.121;29000;138;40;0.2032;223;240;3035.33
0.122;29000;138;40;0.2032;223;240;3035.33
0.123;29000;138;40;0.2032;223;240;3035.33
0.124;29000;138;40;0.2032;223;240;3035.33
0.125;29000;138;40;0.2032;223;240;3035.33
0.126;29000;138;40;0.2032;223;240;3035.33
0.127;29000;138;40;0.2032;223;240;3035.33
0.128;29000;138;40;0.2032;223;240;3035.33
0.129;29000;138;40;0.2032;223;240;3035.33
0.13;29000;138;40;0.2032;223;240;3035.33
0.131;29000;138;40;0.2032;223;240;3035.33
0.132;29000;138;40;0.2032;223;240;3035.33
0.133;29000;138;40;0.2032;223;240;3035.33
0.134;29000;138;40;0.2032;223;240;3035.33
0.135;29000;138;40;0.2032;223;240;3035.33
0.136;29000;138;40;0.2032;223;240;3035.33
0.137;29000;138;40;0.2032;223;240;3035.33
0.138;29000;138;40;0.2032;223;240;3035.33
0.139;29000;138;40;0.2032;223;240;3035.33
0.14;29000;138;40;0.2032;223;240;3035.33
0.141;29000;138;40;0.2032;223;240;3035.33
0.142;29000;138;40;0.2032;223;240;3035.33
0.143;29000;138;40;0.2032;223;240;3035.33
0.144;29000;138;40;0.2032;223;240;3035.33
0.145;29000;138;40;0.2032;223;240;3035.33
0.146;29000;138;40;0.2032;223;240;3035.33
0.147;29000;138;40;0.2032;223;240;3035.33
0.148;29000;138;40;0.2032;223;240;3035.33
0.149;29000;138;40;0.2032;223;240;3035.33
0.15;29000;138;40;0.2032;223;240;3035.33
0.151;29000;138;40;0.2032;223;240;3035.33
0.152;29000;138;40;0.2032;223;240;3035.33
0.153;29000;138;40;0.2032;223;240;3035.33
0.154;29000;138;40;0.2032;223;240;3035.33
0.155;29000;138;40;0.2032;223;240;3035.33
0.156;29000;138;40;0.2032;223;240;3035.33
0.157;29000;138;40;0.2032;223;240;3035.33
0.158;29000;138;40;0.2032;223;240;3035.33
0.159;29000;138;40;0.2032;223;240;3035.33
0.16;29000;138;40;0.2032;223;240;3035.33
0.161;29000;138;40;0.2032;223;240;3035.33
0.162;29000;138;40;0.2032;223;240;3035.33
0.163;29000;138;40;0.2032;223;240;3035.33
0.164;29000;138;40;0.2032;223;240;3035.33
0.165;29000;138;40;0.2032;223;240;3035.33
0.166;29000;138;40;0.2032;223;240;3035.33
0.167;29000;138;40;0.2032;223;240;3035.33
0.168;29000;138;40;0.2032;223;240;3035.33
0.169;29000;138;40;0.2032;223;240;3035.33
0.17;29000;138;40;0.2032;223;240;3035.33
0.171;29000;138;40;0.2032;223;240;3035.33
0.172;29000;138;40;0.2032;223;240;3035.33
0.173;29000;138;40;0.2032;223;240;3035.33
0.174;29000;138;40;0.2032;223;240;3035.33
0.175;29000;138;40;0.2032;223;240;3035.33
0.176;29000;138;40;0.2032;223;240;3035.33
0.177;29000;138;40;0.2032;223;240;3035.33
0.178;29000;138;40;0.2032;223;240;3035.33
0.179;29000;138;40;0.2032;223;240;3035.33
0.18;29000;138;40;0.2032;223;240;3035.33
0.181;29000;138;40;0.2032;223;240;3035.33
0.182;29000;138;40;0.2032;223;240;3035.33
0.183;29000;138;40;0.2032;223;240;3035.33
0.184;29000;138;40;0.2032;223;240;3035.33
0.185;29000;138;40;0.2032;223;240;3035.33
0.186;29000;138;40;0.2032;223;240;3035.33
0.187;29000;138;40;0.2032;223;240;3035.33
0.188;29000;138;40;0.2032;223;240;3035.33
0.189;29000;138;40;0.2032;223;240;3035.33
0.19;29000;138;40;0.2032;223;240;3035.33
0.191;29000;138;40;0.2032;223;240;3035.33
0.192;29000;138;40;0.2032;223;240;3035.33
0.193;29000;138;40;0.2032;223;240;3035.33
0.194;29000;138;40;0.2032;223;240;3035.33
0.195;29000;138;40;0.2032;223;240;3035.33
0.196;29000;138;40;0.2032;223;240;3035.33
0.197;29000;138;40;0.2032;223;240;3035.33
0.198;29000;138;40;0.2032;223;240;3035.33
0.199;29000;138;40;0.2032;223;240;3035.33
0.2;29000;138;40;0.2032;223;240;3035.33
0.201;29000;138;40;0.2032;223;240;3035.33
0.202;29000;138;40;0.2032;223;240;3035.33
0.203;29000;138;40;0.2032;223;240;3035.33
0.204;29000;138;40;0.2032;223;240;3035.33
0.205;29000;138;40;0.2032;223;240;3035.33
0.206;29000;138;40;0.2032;223;240;3035.33
0.207;29000;138;40;0.2032;223;240;3035.33
0.208;29000;138;40;0.2032;223;240;3035.33
0.209;29000;138;40;0.2032;223;240;3035.33
0.21;29000;138;40;0.2032;223;240;3035.33
0.211;29000;138;40;0.2032;223;240;3035.33
0.212;29000;138;40;0.2032;223;240;3035.33
0.213;29000;138;40;0.2032;223;240;3035.33
0.214;29000;138;40;0.2032;223;240;3035.33
0.215;29000;138;40;0.2032;223;240;3035.33
0.216;29000;138;40;0.2032;223;240;3035.33
0.217;29000;138;40;0.2032;223;240;3035.33
0.218;29000;138;40;0.2032;223;240;3035.33
0.219;29000;138;40;0.2032;223;240;3035.33
0.22;29000;138;40;0.2032;223;240;3035.33
0.221;29000;138;40;0.2032;223;240;3035.33
0.222;29000;138;40;0.2032;223;240;3035.33
0.223;29000;138;40;0.2032;223;240;3035.33
0.224;29000;138;40;0.2032;223;240;3035.33
0.225;29000;138;40;0.2032;223;240;3035.33
0.226;29000;138;40;0.2032;223;240;3035.33
0.227;29000;138;40;0.2032;223;240;3035.33
0.228;29000;138;40;0.2032;223;240;3035.33
0.229;29000;138;40;0.2032;223;240;3035.33
0.23;29000;138;40;0.2032;223;240;3035.33
0.231;29000;138;40;0.2032;223;240;3035.33
0.232;29000;138;40;0.2032;223;240;3035.33
0.233;29000;138;40;0.2032;223;240;3035.33
0.234;29000;138;40;0.2032;223;240;3035.33
0.235;29000;138;40;0.2032;223;240;3035.33
0.236;29000;138;40;0.2032;223;240;3035.33
0.237;29000;138;40;0.2032;223;240;3035.33
0.238;29000;138;40;0.2032;223;240;3035.33
0.239;29000;138;40;0.2032;223;240;3035.33
0.24;29000;138;40;0.2032;223;240;3035.33
0.241;29000;138;40;0.2032;223;240;3035.33
0.242;29000;138;40;0.2032;223;240;3035.33
0.243;29000;138;40;0.2032;223;240;3035.33
0.244;29000;138;40;0.2032;223;240;3035.33
0.245;29000;138;40;0.2032;223;240;3035.33
0.246;29000;138;40;0.2032;223;240;3035.33
0.247;29000;138;40;0.2032;223;240;3035.33
0.248;29000;138;40;0.2032;223;240;3035.33
0.249;29000;138;40;0.2032;223;240;3035.33
0.25;29000;138;40;0.2032;223;240;3035.33
0.251;29000;138;40;0.2032;223;240;3035.33
0.252;29000;138;40;0.2032;223;240;3035.33
0.253;29000;138;40;0.2032;223;240;3035.33
0.254;29000;138;40;0.2032;223;240;3035.33
0.255;29000;138;40;0.2032;223;240;3035.33
0.256;29000;138;40;0.2032;223;240;3035.33
0.257;29000;138;40;0.2032;223;240;3035.33
0.258;29000;138;40;0.2032;223;240;3035.33
0.259;29000;138;40;0.2032;223;240;3035.33
0.26;29000;138;40;0.2032;223;240;3035.33
0.261;29000;138;40;0.2032;223;240;3035.33
0.262;29000;138;40;0.2032;223;240;3035.33
0.263;29000;138;40;0.2032;223;240;3035.33
0.264;29000;138;40;0.2032;223;240;3035.33
0.265;29000;138;40;0.2032;223;240;3035.33
0.266;29000;138;40;0.2032;223;240;3035.33
0.267;29000;138;40;0.2032;223;240;3035.33
0.268;29000;138;40;0.2032;223;240;3035.33
0.269;29000;138;40;0.2032;223;240;3035.33
0.27;29000;138;40;0.2032;223;240;3035.33
0.271;29000;138;40;0.2032;223;240;3035.33
0.272;29000;138;40;0.2032;223;240;3035.33
0.273;29000;138;40;0.2032;223;240;3035.33
0.274;29000;138;40;0.2032;223;240;3035.33
0.275;29000;138;40;0.2032;223;240;3035.33
0.276;29000;138;40;0.2032;223;240;3035.33
0.277;29000;138;40;0.2032;223;240;3035.33
0.278;29000;138;40;0.2032;223;240;3035.33
0.279;29000;138;40;0.2032;223;240;3035.33
0.28;29000;138;40;0.2032;223;240;3035.33
0.281;29000;138;40;0.2032;223;240;3035.33
0.282;29000;138;40;0.2032;223;240;3035.33
0.283;29000;138;40;0.2032;223;240;3035.33
0.284;29000;138;40;0.2032;223;240;3035.33
0.285;29000;138;40;0.2032;223;240;3035.33
0.286;29000;138;40;0.2032;223;240;3035.33
0.287;29000;138;40;0.2032;223;240;3035.33
0.288;29000;138;40;0.2032;223;240;3035.33
0.289;29000;138;40;0.2032;223;240;3035.33
0.29;29000;138;40;0.2032;223;240;3035.33
0.291;29000;138;40;0.2032;223;240;3035.33
0.292;29000;138;40;0.2032;223;240;3035.33
0.293;29000;138;40;0.2032;223;240;3035.33
0.294;29000;138;40;0.2032;223;240;3035.33
0.295;29000;138;40;0.2032;223;240;3035.33
0.296;29000;138;40;0.2032;223;240;3035.33
0.297;29000;138;40;0.2032;223;240;3035.33
0.298;29000;138;40;0.2032;223;240;3035.33
0.299;29000;138;40;0.2032;223;240;3035.33
0.3;29000;138;40;0.2032;223;240;3035.33
0.301;29000;138;40;0.2032;223;240;3035.33
0.302;29000;138;40;0.2032;223;240;3035.33
0.303;29000;138;40;0.2032;223;240;3035.33
0.304;29000;138;40;0.2032;223;240;3035.33
0.305;29000;138;40;0.2032;223;240;3035.33
0.306;29000;138;40;0.2032;223;240;3035.33
0.307;29000;138;40;0.2032;223;240;3035.33
0.308;29000;138;40;0.2032;223;240;3035.33
0.309;29000;138;40;0.2032;223;240;3035.33
0.31;29000;138;40;0.2032;223;240;3035.33
0.311;29000;138;40;0.2032;223;240;3035.33
0.312;29000;138;40;0.2032;223;240;3035.33
0.313;29000;138;40;0.2032;223;240;3035.33
0.314;29000;138;40;0.2032;223;240;3035.33
0.315;29000;138;40;0.2032;223;240;3035.33
0.316;29000;138;40;0.2032;223;240;3035.33
0.317;29000;138;40;0.2032;223;240;3035.33
0.318;29000;138;40;0.2032;223;240;3035.33
0.319;29000;138;40;0.2032;223;240;3035.33
0.32;29000;138;40;0.2032;223;240;3035.33
0.321;29000;138;40;0.2032;223;240;3035.33
0.322;29000;138;40;0.2032;223;240;3035.33
0.323;29000;138;40;0.2032;223;240;3035.33
0.324;29000;138;40;0.2032;223;240;3035.33
0.325;29000;138;40;0.2032;223;240;3035.33
0.326;29000;138;40;0.2032;223;240;3035.33
0.327;29000;138;40;0.2032;223;240;3035.33
0.328;29000;138;40;0.2032;223;240;3035.33
0.329;29000;138;40;0.2032;223;240;3035.33
0.33;29000;138;40;0.2032;223;240;3035.33
0.331;29000;138;40;0.2032;223;240;3035.33
0.332;29000;138;40;0.2032;223;240;3035.33
0.333;29000;138;40;0.2032;223;240;3035.33
0.334;29000;138;40;0.2032;223;240;3035.33
0.335;29000;138;40;0.2032;223;240;3035.33
0.336;29000;138;40;0.2032;223;240;3035.33
0.337;29000;138;40;0.2032;223;240;3035.33
0.338;29000;138;40;0.2032;223;240;3035.33
0.339;29000;138;40;0.2032;223;240;3035.33
0.34;29000;138;40;0.2032;223;240;3035.33
0.341;29000;138;40;0.2032;223;240;3035.33
0.342;29000;138;40;0.2032;223;240;3035.33
0.343;29000;138;40;0.2032;223;240;3035.33
0.344;29000;138;40;0.2032;223;240;3035.33
0.345;29000;138;40;0.2032;223;240;3035.33
0.346;29000;138;40;0.2032;223;240;3035.33
0.347;29000;138;40;0.2032;223;240;3035.33
0.348;29000;138;40;0.2032;223;240;3035.33
0.349;29000;138;40;0.2032;223;240;3035.33
0.35;29000;138;40;0.2032;223;240;3035.33
0.351;29000;138;40;0.2032;223;240;3035.33
0.352;29000;138;40;0.2032;223;240;3035.33
0.353;29000;138;40;0.2032;223;240;3035.33
0.354;29000;138;40;0.2032;223;240;3035.33
0.355;29000;138;40;0.2032;223;240;3035.33
0.356;29000;138;40;0.2032;223;240;3035.33
0.357;29000;138;40;0.2032;223;240;3035.33
0.358;29000;138;40;0.2032;223;240;3035.33
0.359;29000;138;40;0.2032;223;240;3035.33
0.36;29000;138;40;0.2032;223;240;3035.33
0.361;29000;138;40;0.2032;223;240;3035.33
0.362;29000;138;40;0.2032;223;240;3035.33
0.363;29000;138;40;0.2032;223;240;3035.33
0.364;29000;138;40;0.2032;223;240;3035.33
0.365;29000;138;40;0.2032;223;240;3035.33
0.366;29000;138;40;0.2032;223;240;3035.33
0.367;29000;138;40;0.2032;223;240;3035.33
0.368;29000;138;40;0.2032;223;240;3035.33
0.369;29000;138;40;0.2032;223;240;3035.33
0.37;29000;138;40;0.2032;223;240;3035.33
0.371;29000;138;40;0.2032;223;240;3035.33
0.372;29000;138;40;0.2032;223;240;3035.33
0.373;29000;138;40;0.2032;223;240;3035.33
0.374;29000;138;40;0.2032;223;240;3035.33
0.375;29000;138;40;0.2032;223;240;3035.33
0.376;29000;138;40;0.2032;223;240;3035.33
0.377;29000;138;40;0.2032;223;240;3035.33
0.378;29000;138;40;0.2032;223;240;3035.33
0.379;29000;138;40;0.2032;223;240;3035.33
0.38;29000;138;40;0.2032;223;240;3035.33
0.381;29000;138;40;0.2032;223;240;3035.33
0.382;29000;138;40;0.2032;223;240;3035.33
0.383;29000;138;40;0.2032;223;240;3035.33
0.384;29000;138;40;0.2032;223;240;3035.33
0.385;29000;138;40;0.2032;223;240;3035.33
0.386;29000;138;40;0.2032;223;240;3035.33
0.387;29000;138;40;0.2032;223;240;3035.33
0.388;29000;138;40;0.2032;223;240;3035.33
0.389;29000;138;40;0.2032;223;240;3035.33
0.39;29000;138;40;0.2032;223;240;3035.33
0.391;29000;138;40;0.2032;223;240;3035.33
0.392;29000;138;40;0.2032;223;240;3035.33
0.393;29000;138;40;0.2032;223;240;3035.33
0.394;29000;138;40;0.2032;223;240;3035.33
0.395;29000;138;40;0.2032;223;240;3035.33
0.396;29000;138;40;0.2032;223;240;3035.33
0.397;29000;138;40;0.2032;223;240;3035.33
0.398;29000;138;40;0.2032;223;240;3035.33
0.399;29000;138;40;0.2032;223;240;3035.33
0.4;29000;138;40;0.2032;223;240;3035.33
0.401;29000;138;40;0.2032;223;240;3035.33
0.402;29000;138;40;0.2032;223;240;3035.33
0.403;29000;138;40;0.2032;223;240;3035.33
0.404;29000;138;40;0.2032;223;240;3035.33
0.405;29000;138;40;0.2032;223;240;3035.33
0.406;29000;138;40;0.2032;223;240;3035.33
0.407;29000;138;40;0.2032;223;240;3035.33
0.408;29000;138;40;0.2032;223;240;3035.33
0.409;29000;138;40;0.2032;223;240;3035.33
0.41;29000;138;40;0.2032;223;240;3035.33
0.411;29000;138;40;0.2032;223;240;3035.33
0.412;29000;138;40;0.2032;223;240;3035.33
0.413;29000;138;40;0.2032;223;240;3035.33
0.414;29000;138;40;0.2032;223;240;3035.33
0.415;29000;138;40;0.2032;223;240;3035.33
0.416;29000;138;40;0.2032;223;240;3035.33
0.417;29000;138;40;0.2032;223;240;3035.33
0.418;29000;138;40;0.2032;223;240;3035.33
0.419;29000;138;40;0.2032;223;240;3035.33
0.42;29000;138;40;0.2032;223;240;3035.33
0.421;29000;138;40;0.2032;223;240;3035.33
0.422;29000;138;40;0.2032;223;240;3035.33
0.423;29000;138;40;0.2032;223;240;3035.33
0.424;29000;138;40;0.2032;223;240;3035.33
0.425;29000;138;40;0.2032;223;240;3035.33
0.426;29000;138;40;0.2032;223;240;3035.33
0.427;29000;138;40;0.2032;223;240;3035.33
0.428;29000;138;40;0.2032;223;240;3035.33
0.429;29000;138;40;0.2032;223;240;3035.33
0.43;29000;138;40;0.2032;223;240;3035.33
0.431;29000;138;40;0.2032;223;240;3035.33
0.432;29000;138;40;0.2032;223;240;3035.33
0.433;29000;138;40;0.2032;223;240;3035.33
0.434;29000;138;40;0.2032;223;240;3035.33
0.435;29000;138;40;0.2032;223;240;3035.33
0.436;29000;138;40;0.2032;223;240;3035.33
0.437;29000;138;40;0.2032;223;240;3035.33
0.438;29000;138;40;0.2032;223;240;3035.33
0.439;29000;138;40;0.2032;223;240;3035.33
0.44;29000;138;40;0.2032;223;240;3035.33
0.441;29000;138;40;0.2032;223;240;3035.33
0.442;29000;138;40;0.2032;223;240;3035.33
0.443;29000;138;40;0.2032;223;240;3035.33
0.444;29000;138;40;0.2032;223;240;3035.33
0.445;29000;138;40;0.2032;223;240;3035.33
0.446;29000;138;40;0.2032;223;240;3035.33
0.447;29000;138;40;0.2032;223;240;3035.33
0.448;29000;138;40;0.2032;223;240;3035.33
0.449;29000;138;40;0.2032;223;240;3035.33
0.45;29000;138;40;0.2032;223;240;3035.33
0.451;29000;138;40;0.2032;223;240;3035.33
0.452;29000;138;40;0.2032;223;240;3035.33
0.453;29000;138;40;0.2032;223;240;3035.33
0.454;29000;138;40;0.2032;223;240;3035.33
0.455;29000;138;40;0.2032;223;240;3035.33
0.456;29000;138;40;0.2032;223;240;3035.33
0.457;29000;138;40;0.2032;223;240;3035.33
0.458;29000;138;40;0.2032;223;240;3035.33
0.459;29000;138;40;0.2032;223;240;3035.33
0.46;29000;138;40;0.2032;223;240;3035.33
0.461;29000;138;40;0.2032;223;240;3035.33
0.462;29000;138;40;0.2032;223;240;3035.33
0.463;29000;138;40;0.2032;223;240;3035.33
0.464;29000;138;40;0.2032;223;240;3035.33
0.465;29000;138;40;0.2032;223;240;3035.33
0.466;29000;138;40;0.2032;223;240;3035.33
0.467;29000;138;40;0.2032;223;240;3035.33
0.468;29000;138;40;0.2032;223;240;3035.33
0.469;29000;138;40;0.2032;223;240;3035.33
0.47;29000;138;40;0.2032;223;240;3035.33
0.471;29000;138;40;0.2032;223;240;3035.33
0.472;29000;138;40;0.2032;223;240;3035.33
0.473;29000;138;40;0.2032;223;240;3035.33
0.474;29000;138;40;0.2032;223;240;3035.33
0.475;29000;138;40;0.2032;223;240;3035.33
0.476;29000;138;40;0.2032;223;240;3035.33
0.477;29000;138;40;0.2032;223;240;3035.33
0.478;29000;138;40;0.2032;223;240;3035.33
0.479;29000;138;40;0.2032;223;240;3035.33
0.48;29000;138;40;0.2032;223;240;3035.33
0.481;29000;138;40;0.2032;223;240;3035.33
0.482;29000;138;40;0.2032;223;240;3035.33
0.483;29000;138;40;0.2032;223;240;3035.33
0.484;29000;138;40;0.2032;223;240;3035.33
0.485;29000;138;40;0.2032;223;240;3035.33
0.486;29000;138;40;0.2032;223;240;3035.33
0.487;29000;138;40;0.2032;223;240;3035.33
0.488;29000;138;40;0.2032;223;240;3035.33
0.489;29000;138;40;0.2032;223;240;3035.33
0.49;29000;138;40;0.2032;223;240;3035.33
0.491;29000;138;40;0.2032;223;240;3035.33
0.492;29000;138;40;0.2032;223;240;3035.33
0.493;29000;138;40;0.2032;223;240;3035.33
0.494;29000;138;40;0.2032;223;240;3035.33
0.495;29000;138;40;0.2032;223;240;3035.33
0.496;29000;138;40;0.2032;223;240;3035.33
0.497;29000;138;40;0.2032;223;240;3035.33
0.498;29000;138;40;0.2032;223;240;3035.33
0.499;29000;138;40;0.2032;223;240;3035.33
0.5;29000;138;40;0.2032;223;240;3035.33
0.501;29000;138;40;0.2032;223;240;3035.33
0.502;29000;138;40;0.2032;223;240;3035.33
0.503;29000;138;40;0.2032;223;240;3035.33
0.504;29000;138;40;0.2032;223;240;3035.33
0.505;29000;138;40;0.2032;223;240;3035.33
0.506;29000;138;40;0.2032;223;240;3035.33
0.507;29000;138;40;0.2032;223;240;3035.33
0.508;29000;138;40;0.2032;223;240;3035.33
0.509;29000;138;40;0.2032;223;240;3035.33
0.51;29000;138;40;0.2032;223;240;3035.33
0.511;29000;138;40;0.2032;223;240;3035.33
0.512;29000;138;40;0.2032;223;240;3035.33
0.513;29000;138;40;0.2032;223;240;3035.33
0.514;29000;138;40;0.2032;223;240;3035.33
0.515;29000;138;40;0.2032;223;240;3035.33
0.516;29000;138;40;0.2032;223;240;3035.33
0.517;29000;138;40;0.2032;223;240;3035.33
0.518;29000;138;40;0.2032;223;240;3035.33
0.519;29000;138;40;0.2032;223;240;3035.33
0.52;29000;138;40;0.2032;223;240;3035.33
0.521;29000;138;40;0.2032;223;240;3035.33
0.522;29000;138;40;0.2032;223;240;3035.33
0.523;29000;138;40;0.2032;223;240;3035.33
0.524;29000;138;40;0.2032;223;240;3035.33
0.525;29000;138;40;0.2032;223;240;3035.33
0.526;29000;138;40;0.2032;223;240;3035.33
0.527;29000;138;40;0.2032;223;240;3035.33
0.528;29000;138;40;0.2032;223;240;3035.33
0.529;29000;138;40;0.2032;223;240;3035.33
0.53;29000;138;40;0.2032;223;240;3035.33
0.531;29000;138;40;0.2032;223;240;3035.33
0.532;29000;138;40;0.2032;223;240;3035.33
0.533;29000;138;40;0.2032;223;240;3035.33
0.534;29000;138;40;0.2032;223;240;3035.33
0.535;29000;138;40;0.2032;223;240;3035.33
0.536;29000;138;40;0.2032;223;240;3035.33
0.537;29000;138;40;0.2032;223;240;3035.33
0.538;29000;138;40;0.2032;223;240;3035.33
0.539;29000;138;40;0.2032;223;240;3035.33
0.54;29000;138;40;0.2032;223;240;3035.33
0.541;29000;138;40;0.2032;223;240;3035.33
0.542;29000;138;40;0.2032;223;240;3035.33
0.543;29000;138;40;0.2032;223;240;3035.33
0.544;29000;138;40;0.2032;223;240;3035.33
0.545;29000;138;40;0.2032;223;240;3035.33
0.546;29000;138;40;0.2032;223;240;3035.33
0.547;29000;138;40;0.2032;223;240;3035.33
0.548;29000;138;40;0.2032;223;240;3035.33
0.549;29000;138;40;0.2032;223;240;3035.33
0.55;29000;138;40;0.2032;223;240;3035.33
0.551;29000;138;40;0.2032;223;240;3035.33
0.552;29000;138;40;0.2032;223;240;3035.33
0.553;29000;138;40;0.2032;223;240;3035.33
0.554;29000;138;40;0.2032;223;240;3035.33
0.555;29000;138;40;0.2032;223;240;3035.33
0.556;29000;138;40;0.2032;223;240;3035.33
